url,address,neighborhood,price,rooms,baths,none
https://www.renthop.com/listings/10-vinal-street/3sm/58093445,"10 Vinal Street, Apt 3SM","Commonwealth, Brighton, Boston","$1,800",1_Bed,1_Bath,
https://www.renthop.com/listings/57-pleasant-street/na/19544655,57 Pleasant Street,"Uphams Corner - Jones Hill, Dorchester, Boston","$1,300",Room,2_Bath,
https://www.renthop.com/listings/376-commonwealth-ave/301/58338213,"376 Commonwealth Ave., Apt 301...","Back Bay West, Back Bay, Boston","$3,600",2_Bed,1_Bath,
https://www.renthop.com/listings/91-prince-st/7sm/58114014,"91 Prince St, Apt 7SM","North End, Boston","$2,895",2_Bed,1_Bath,
https://www.renthop.com/listings/566-commonwealth-ave/604/58058437,"566 Commonwealth Ave., Apt 604...","Kenmore, Fenway - Kenmore - Audubon Circle - Longwood, Boston","$2,350",Studio,1_Bath,
https://www.renthop.com/listings/619-hancock-st/1/58335227,"619 Hancock Street, Apt 1","Wollaston, Quincy","$3,000",4_Bed,_,1_Bath
https://www.renthop.com/listings/214-market-st/201/58330058,"214 Market St., Apt 201","Oak Square, Brighton, Boston","$4,500",2_Bed,2_Bath,
https://www.renthop.com/listings/14-stickney-ave/1/58159154,"14 Stickney Ave, Apt 1","Winter Hill, Somerville","$3,700",4_Bed,2_Bath,
https://www.renthop.com/listings/187-washington-st/na/58338315,187 Washington St.,"St. Elizabeth's, Brighton, Boston","$3,400",3_Bed,2_Bath,
https://www.renthop.com/listings/8-banton-st/na/58338496,8 Banton St,"St. Marks, Dorchester, Boston","$1,800",1_Bed,1_Bath,
https://www.renthop.com/listings/1654-mass-ave/na/58339437,1654 Mass Ave,"Neighborhood Nine, Cambridge","$2,800",2_Bed,1_Bath,
https://www.renthop.com/listings/2764-washington-st/1/58338293,"2764 Washington St., Apt 1","Washington Park, Roxbury, Boston","$3,700",3_Bed,2_Bath,
https://www.renthop.com/listings/533-western-ave/317/58338279,"533 Western Ave., Apt 317","North Allston, Allston, Boston","$2,537",1_Bed,1_Bath,
