Jumpman Id,AVG_deliveries
122124,9
124216,9
132101,9
133627,9
150260,9
151073,9
153257,9
153766,9
163796,9
17402,10
30774,10
31859,10
41959,10
46602,10
102353,10
119153,10
119813,10
129698,10
130599,10
144094,10
146356,10
147789,10
149328,10
156508,10
161082,10
162603,10
163828,10
163947,10
165094,10
172301,10
35973,11
38597,11
49223,11
59184,11
71148,11
79598,11
88804,11
91765,11
94865,11
100390,11
120179,11
124030,11
129310,11
141201,11
145255,11
149651,11
152053,11
161162,11
20217,12
39443,12
43196,12
48430,12
52826,12
56776,12
81503,12
84770,12
105178,12
109013,12
112851,12
127402,12
144384,12
152676,12
158623,12
162381,12
164384,12
8625,13
62487,13
105427,13
113563,13
114469,13
116438,13
117223,13
134198,13
151208,13
153795,13
9549,14
34669,14
55567,14
58695,14
65038,14
69889,14
83565,14
90681,14
118707,14
139444,14
139995,14
145761,14
158227,14
158962,14
5935,15
46760,15
46764,15
49875,15
54954,15
73175,15
89004,15
102837,15
108006,15
110399,15
137297,15
143261,15
157596,15
166448,15
18860,16
69993,16
134189,16
138057,16
140919,16
144719,16
161440,16
60761,17
62860,17
109259,17
118093,17
119839,17
157415,17
157975,17
19432,18
30905,18
67103,18
103194,18
112990,18
122309,18
122837,18
124897,18
137090,18
147033,18
165830,18
10940,19
15291,19
119255,19
158266,19
171206,19
34667,20
44356,20
123844,20
147300,20
65763,21
81285,21
86938,21
106964,21
132725,21
140794,21
152741,21
154377,21
157086,21
158791,21
59348,22
72480,23
116881,23
125504,23
79847,24
113822,24
138560,24
151467,24
154990,24
31156,25
91932,25
104989,25
167596,25
7833,26
111793,26
41408,27
66004,27
128139,27
93783,28
152111,28
154545,28
28765,29
39733,29
57186,29
67430,29
140096,29
6873,30
118659,30
57496,31
140684,32
91807,33
133293,34
143085,35
156557,35
138061,36
123581,38
142140,41
43955,42
84093,43
118095,43
22502,44
53095,44
101359,44
32580,46
61900,46
23359,47
20962,48
66416,49
3296,50
30743,52
99219,67
104533,67
142394,67
